epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1932.48,0.29575,0.39165,0.85727,0.99363,0.99356,0.99222,0.98495,0.21488,0.17218,0.77226,0.000495062,0.000495062,0.000495062
114,1949.76,0.31398,0.39965,0.87539,0.98996,0.99132,0.99471,0.98418,0.22026,0.17978,0.77441,0.000489562,0.000489562,0.000489562
115,1968.7,0.30179,0.39995,0.86852,0.9899,0.9903,0.995,0.98321,0.2157,0.17894,0.77674,0.000484063,0.000484063,0.000484063
116,1986.86,0.30609,0.37333,0.86732,0.993,0.99431,0.99491,0.98225,0.22059,0.16837,0.77349,0.000478563,0.000478563,0.000478563
117,2004.94,0.30629,0.38096,0.87114,0.99147,0.99286,0.99479,0.988,0.22328,0.17888,0.77562,0.000473064,0.000473064,0.000473064
118,2021.11,0.30082,0.3843,0.86229,0.98741,0.98582,0.9946,0.98584,0.22604,0.17798,0.77679,0.000467564,0.000467564,0.000467564
119,2037.87,0.29755,0.39057,0.8595,0.98743,0.99068,0.99066,0.98118,0.21764,0.17829,0.77401,0.000462065,0.000462065,0.000462065
120,2054.28,0.30019,0.38802,0.86292,0.98345,0.99493,0.99047,0.98173,0.20906,0.17713,0.76968,0.000456565,0.000456565,0.000456565
121,2071.94,0.29283,0.38216,0.85707,0.99173,0.98607,0.99105,0.98403,0.21598,0.17861,0.77156,0.000451066,0.000451066,0.000451066
122,2087.66,0.288,0.3645,0.8562,0.9923,0.98168,0.9902,0.98267,0.21171,0.17374,0.77158,0.000445567,0.000445567,0.000445567
123,2102.19,0.29351,0.35165,0.85248,0.99133,0.99286,0.99027,0.98275,0.21999,0.17446,0.77134,0.000440067,0.000440067,0.000440067
124,2119.08,0.30438,0.39502,0.86779,0.99226,0.99286,0.99305,0.98119,0.21962,0.16531,0.77104,0.000434568,0.000434568,0.000434568
125,2137.32,0.28761,0.37766,0.85549,0.99367,0.99286,0.99047,0.981,0.21036,0.17394,0.76892,0.000429068,0.000429068,0.000429068
126,2151.95,0.29201,0.37212,0.85772,0.99346,0.99286,0.99027,0.98173,0.21538,0.17519,0.77046,0.000423569,0.000423569,0.000423569
127,2171.42,0.28551,0.37932,0.85362,0.99339,0.99286,0.99027,0.98351,0.20848,0.17008,0.76838,0.000418069,0.000418069,0.000418069
128,2188.71,0.29035,0.363,0.85864,0.99025,0.99286,0.98921,0.98377,0.20865,0.1822,0.77077,0.00041257,0.00041257,0.00041257
129,2207.22,0.29625,0.37955,0.86083,0.99206,0.99286,0.99027,0.98068,0.21176,0.17838,0.77191,0.00040707,0.00040707,0.00040707
130,2225.44,0.28895,0.3692,0.85134,0.98685,0.99286,0.99009,0.98321,0.2104,0.18262,0.77093,0.000401571,0.000401571,0.000401571
131,2239.23,0.28995,0.36806,0.8573,0.99071,0.99286,0.99027,0.98159,0.20807,0.16934,0.77175,0.000396071,0.000396071,0.000396071
132,2253.22,0.27746,0.36089,0.85389,0.98953,0.99286,0.99395,0.98694,0.21226,0.16514,0.77329,0.000390572,0.000390572,0.000390572
133,2267.35,0.2959,0.37693,0.85737,0.9917,0.99482,0.995,0.98862,0.20188,0.16,0.77215,0.000385073,0.000385073,0.000385073
134,2283.96,0.30379,0.38367,0.87633,0.99583,0.98937,0.995,0.98716,0.21263,0.16175,0.77218,0.000379573,0.000379573,0.000379573
135,2300.23,0.28606,0.37089,0.85363,0.99317,0.98958,0.99483,0.98682,0.2063,0.17026,0.77204,0.000374074,0.000374074,0.000374074
136,2322.46,0.29173,0.37785,0.86176,0.99102,0.99065,0.99479,0.98819,0.2054,0.16149,0.77062,0.000368574,0.000368574,0.000368574
137,2336.73,0.29391,0.36072,0.86405,0.99104,0.98989,0.99287,0.98955,0.20479,0.16184,0.76827,0.000363075,0.000363075,0.000363075
138,2355.08,0.28254,0.35115,0.85592,0.99335,0.98781,0.98992,0.98412,0.20163,0.16136,0.7673,0.000357575,0.000357575,0.000357575
139,2370.64,0.28184,0.33909,0.8594,0.99121,0.9873,0.98988,0.98385,0.2007,0.16753,0.76855,0.000352076,0.000352076,0.000352076
140,2388.65,0.27612,0.34816,0.85356,0.98856,0.98333,0.99017,0.98009,0.21032,0.17911,0.77043,0.000346576,0.000346576,0.000346576
141,2405.5,0.27649,0.34165,0.85323,0.98914,0.9871,0.99047,0.98261,0.20663,0.17521,0.76917,0.000341077,0.000341077,0.000341077
142,2423.48,0.28932,0.33756,0.86601,0.98721,0.99023,0.99067,0.98336,0.19983,0.16905,0.76788,0.000335578,0.000335578,0.000335578
143,2438.11,0.2868,0.34442,0.8601,0.98897,0.97641,0.99067,0.98313,0.20507,0.17955,0.76706,0.000330078,0.000330078,0.000330078
144,2455.87,0.28265,0.35101,0.85821,0.98117,0.98844,0.99067,0.98628,0.2015,0.18848,0.76611,0.000324579,0.000324579,0.000324579
145,2471.92,0.2773,0.33324,0.849,0.98835,0.98735,0.99037,0.98291,0.20725,0.18083,0.76792,0.000319079,0.000319079,0.000319079
146,2487.09,0.27245,0.36772,0.85281,0.99171,0.98787,0.99046,0.98537,0.20383,0.17168,0.76772,0.00031358,0.00031358,0.00031358
147,2500.72,0.28274,0.33396,0.85245,0.99266,0.98779,0.99057,0.98458,0.2049,0.16398,0.76756,0.00030808,0.00030808,0.00030808
148,2519.16,0.28026,0.33526,0.85636,0.9858,0.9975,0.99067,0.98702,0.19875,0.15658,0.76711,0.000302581,0.000302581,0.000302581
149,2534.42,0.27794,0.35862,0.85413,0.99217,0.98759,0.99009,0.98451,0.20424,0.16199,0.76797,0.000297081,0.000297081,0.000297081
150,2553.55,0.27628,0.33305,0.8564,0.98553,0.9873,0.98955,0.98472,0.1999,0.16623,0.76535,0.000291582,0.000291582,0.000291582
151,2572.57,0.2758,0.32735,0.8532,0.98286,0.98846,0.99016,0.98253,0.19973,0.17099,0.76569,0.000286083,0.000286083,0.000286083
152,2590.28,0.2629,0.31949,0.84705,0.99031,0.9873,0.99026,0.98122,0.2,0.16242,0.76683,0.000280583,0.000280583,0.000280583
153,2605.52,0.27631,0.34294,0.855,0.99283,0.9873,0.99016,0.9849,0.19348,0.15856,0.76737,0.000275084,0.000275084,0.000275084
154,2624.5,0.27255,0.34553,0.85242,0.99221,0.9873,0.99036,0.98411,0.19272,0.15859,0.76739,0.000269584,0.000269584,0.000269584
